Freq(Hz),Re(V1),Im(V1),Re(V2),Im(V2),Re(V1_I),Im(V1_I)
1.0,2.0000000000000004,0.0,1.9835934662962982,0.18039926014048155,-0.5667409903703708,-0.05154264575442331
1.0209606623060468,2.0,0.0,1.9842549652450765,0.1767545286277358,-0.5669299900700219,-0.05050129389363879
1.0423606739764015,2.0000000000000004,3.390332861071254e-17,1.9848899962269357,0.17318110558633884,-0.5671114274934103,-0.04948031588181199
1.0642092440647242,2.0,0.0,1.9854996022156122,0.16967773581961246,-0.567285600633032,-0.048479353091317845
1.0865157746525382,2.0,0.0,1.986084786357538,0.166243177647111,-0.5674527961021537,-0.04749805075631742
1.1092898648952227,2.0000000000000004,3.185776556612073e-17,1.9866465133915958,0.16287620333310743,-0.5676132895404559,-0.04653605809517355
1.1325413151528119,2.0000000000000004,0.0,1.9871857110264415,0.15957559946689678,-0.5677673460075546,-0.04559302841911425
1.1562801312073758,2.0,0.0,1.9877032712759644,0.15634016729797523,-0.5679152203645612,-0.04466861922799292
1.180516528568805,2.0,0.0,1.9882000517535239,0.153168723028995,-0.5680571576438639,-0.04376249229399947
1.2052609368708425,2.0,0.0,1.9886768769256458,0.15006009806924453,-0.5681933934073273,-0.042874313734069865
1.2305240043592616,2.0000000000000004,2.871906304591526e-17,1.9891345393259157,0.14701313925125478,-0.5683241540931188,-0.04200375407178797
1.2563166024741206,2.0,0.0,1.9895738007298327,0.14402670901299353,-0.5684496573513808,-0.04115048828942672
1.2826498305280605,2.0,0.0,1.9899953932914345,0.1410996855479771,-0.5685701123689811,-0.040314195870850604
1.3095350204826672,2.0,2.6986293537747733e-17,1.9904000206425128,0.13823096292549802,-0.5686857201835751,-0.03949456083585657
1.3369837418249464,1.9999999999999996,0.0,1.9907883589552726,0.1354194511830471,-0.5687966739872208,-0.038691271766584885
1.365007806546014,2.0,0.0,1.9911610579692993,0.13266407639289277,-0.5689031594197997,-0.03790402182654079
1.3936192742241424,2.0,0.0,1.9915187419837053,0.12996378070466627,-0.5690053548524872,-0.03713250877276179
1.4228304572143526,2.0,0.0,1.991862010815345,0.12731752236569852,-0.5691034316615271,-0.036376434961628144
